cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass,category
IN03A064,9,,0,,,female_specific
IN03A087,9,,0,,,female_specific
IN03B079,9,,0,,,female_specific
IN03B093,9,,0,,,female_specific
IN05B085,9,,0,,,female_specific
IN06A063,9,,0,,,female_specific
IN06A067,9,,0,,,female_specific
IN06A094,9,glia,0,,,female_specific
IN06B056,9,,0,,,female_specific
IN09A057,9,,0,,,female_specific
IN09A079,9,,0,,,female_specific
IN11A027,9,,0,,,female_specific
IN12B063,9,,0,,,female_specific
IN12B079,9,,0,,,female_specific
IN13A018,9,,0,,,female_specific
IN13A030,9,,0,,,female_specific
IN13A034,9,,0,,,female_specific
IN13A041,9,CNS neuron,0,,,female_specific
IN13A042,9,CNS neuron,0,,,female_specific
IN13B027,9,,0,,,female_specific
IN17A028,9,,0,,,female_specific
IN17A052,9,CNS neuron,0,,,female_specific
IN19A096,9,CNS neuron,0,,,female_specific
IN20A.22A039,9,,0,,,female_specific
IN20A.22A071,9,,0,,,female_specific
IN21A041,9,,0,,,female_specific
INXXX058,9,,0,,,female_specific
INXXX246,9,,0,,,female_specific
INXXX269,9,,0,,,female_specific
INXXX346,9,,0,,,female_specific
JO-FVA,9,sensory neuron,0,,,female_specific
LB2,9,sensory neuron,0,,,female_specific
MC61,9,CNS neuron,0,,,female_specific
Pleural remotor/abductor MN,9,efferent neuron,0,,,female_specific
SA_DMT_DMetaN_8,9,,0,,,female_specific
SApp11,9,sensory neuron,0,,,female_specific
TuBu09,9,,0,,,female_specific
aSP-f4,9,,0,,,female_specific
abdominal_ppk_neuron,9,sensory neuron,0,,,female_specific
AN_5_None,8,,0,,,female_specific
AN_GNG_77,8,,0,,,female_specific
APDN3,8,,0,,,female_specific
BM_Fr,8,sensory neuron,0,,,female_specific
BM_InOc,8,sensory neuron,0,,,female_specific
CB0948,8,,0,,,female_specific
CB0979,8,,0,,,female_specific
CB1231,8,,0,,,female_specific
CB1341,8,,0,,,female_specific
CB1587,8,,0,,,female_specific
CB2358,8,,0,,,female_specific
CB2795,8,,0,,,female_specific
CL210,8,,0,,,female_specific
DLMn c-f,8,efferent neuron,0,,,female_specific
DNxn109,8,CNS neuron,0,,,female_specific
FB4F_a,8,,0,,,female_specific
FB8A,8,,0,,,female_specific
Hugin-PC,8,,0,,,female_specific
IN02A030,8,,0,,,female_specific
IN02A054,8,,0,,,female_specific
IN03A067,8,,0,,,female_specific
IN03B063,8,,0,,,female_specific
IN03B092,8,,0,,,female_specific
IN05B072,8,,0,,,female_specific
IN06A019,8,,0,,,female_specific
IN06A076,8,,0,,,female_specific
IN06A079,8,,0,,,female_specific
IN06A110,8,,0,,,female_specific
IN06A133,8,,0,,,female_specific
IN06A136,8,,0,,,female_specific
IN06B073,8,,0,,,female_specific
IN08A015,8,,0,,,female_specific
IN09A096,8,CNS neuron,0,,,female_specific
IN09B043,8,CNS neuron,0,,,female_specific
IN09B046,8,,0,,,female_specific
IN11A003,8,,0,,,female_specific
IN11A014,8,,0,,,female_specific
IN11B018,8,,0,,,female_specific
IN11B019,8,,0,,,female_specific
IN12A043,8,,0,,,female_specific
IN12B048,8,,0,,,female_specific
IN13A035,8,,0,,,female_specific
IN13A059,8,,0,,,female_specific
IN13B054,8,sensory neuron,0,,,female_specific
IN14A020,8,,0,,,female_specific
IN16B032,8,,0,,,female_specific
IN16B088,8,,0,,,female_specific
IN17A111,8,,0,,,female_specific
IN19A005,8,,0,,,female_specific
IN19A011,8,CNS neuron,0,,,female_specific
IN19A048,8,,0,,,female_specific
IN19A069,8,,0,,,female_specific
IN19B089,8,,0,,,female_specific
IN19B091,8,,0,,,female_specific
IN20A.22A074,8,,0,,,female_specific
IN21A015,8,CNS neuron,0,,,female_specific
IN21A017,8,sensory neuron,0,,,female_specific
IN21A078,8,,0,,,female_specific
INXXX158,8,,0,,,female_specific
INXXX211,8,,0,,,female_specific
INXXX231,8,,0,,,female_specific
INXXX353,8,,0,,,female_specific
INXXX396,8,,0,,,female_specific
INXXX405,8,,0,,,female_specific
INXXX426,8,,0,,,female_specific
INXXX443,8,,0,,,female_specific
INXXX446,8,,0,,,female_specific
INXXX468,8,,0,,,female_specific
LLPC2a,8,,0,,,female_specific
LLPC2b,8,,0,,,female_specific
PFNm_a,8,,0,,,female_specific
PS087,8,,0,,,female_specific
PS209,8,,0,,,female_specific
SAD007,8,,0,,,female_specific
SAxx02,8,sensory neuron,0,,,female_specific
SAxxxx,8,sensory neuron,0,,,female_specific
SIP020,8,,0,,,female_specific
SNch14,8,sensory neuron,0,,,female_specific
SNpp20,8,sensory neuron,0,,,female_specific
SNpp42,8,sensory neuron,0,,,female_specific
Tergotr. MN,8,efferent neuron,0,,,female_specific
Tr extensor MN,8,efferent neuron,0,,,female_specific
WED015,8,,0,,,female_specific
WED026,8,,0,,,female_specific
ANXXX202,7,sensory neuron,0,,,female_specific
AN_GNG_147,7,CNS neuron,0,,,female_specific
AN_GNG_90,7,sensory neuron,0,,,female_specific
AVLP026,7,,0,,,female_specific
AVLP028,7,,0,,,female_specific
